,0
2017-01-06,0.48242188
2017-01-19,0.36914062
2017-02-08,0.23632812
2017-02-15,0.47460938
2017-02-25,0.48632812
2017-03-07,0.45507812
2017-03-17,0.43554688
2017-03-27,0.42483333
2017-03-30,0.383231
2017-04-16,0.418536
2017-04-19,0.37256894
2017-05-09,0.4059595
2017-05-16,0.44726562
2017-05-19,0.41846746
2017-06-08,0.33583662
2017-06-15,0.48242188
2017-06-25,0.43554688
2017-06-28,0.48242188
2017-06-30,0.47070312
2017-07-05,0.47070312
2017-07-15,0.43927312
2017-07-18,0.46289062
2017-07-20,0.48242188
2017-07-23,0.3673177
2017-07-25,0.43164062
2017-07-28,0.44726562
2017-07-30,0.33457297
2017-08-02,0.47070312
2017-08-04,0.49023438
2017-08-09,0.4120233
2017-08-12,0.40602398
2017-08-22,0.40820312
2017-08-24,0.49023438
2017-08-29,0.3512296
2017-09-03,0.46679688
2017-09-08,0.3527167
2017-09-11,0.2708024
2017-09-16,0.23108347
2017-10-08,0.49023438
2017-10-18,0.3518961
2017-10-23,0.3094504
2017-11-02,0.35157657
2017-11-17,0.38476562
2017-11-20,0.1150608
2017-12-17,0.35344362
