,Water,Settlement,Dark soil, Bright soil,Vegetation,Agriculture,Cloud,Cloud shadow
0,1.7957038,15.94622,15.474302,10.579736,13.196716,13.742829,33.364296,6.3045425
1,1.5974625,15.951576,15.417568,10.617541,12.590479,13.885332,33.40958,6.2433696
2,1.7122529,18.098698,15.956076,10.634874,12.630546,13.740632,33.332813,6.2839875
3,1.618664,17.975636,15.946141,10.626432,11.95507,13.660631,33.330727,6.407521
4,1.6932161,27.217968,16.295586,10.891392,11.998821,14.016976,32.507843,6.3851256
5,1.5754089,27.275017,16.319569,11.01856,12.437241,13.978837,32.161785,6.5682073
6,1.5966048,31.814568,16.345303,11.2351265,12.197447,14.408309,31.279844,6.577113
7,1.6495701,32.121563,16.348179,11.494542,12.38238,14.333212,31.107695,6.621792
8,1.7143725,22.919306,15.820748,11.302589,12.557557,15.37724,30.263384,6.62005
9,1.6499393,22.824163,15.94789,10.992129,12.482293,15.373815,30.422926,6.6043797
10,1.7202663,16.057224,15.14389,10.70476,13.689177,16.306559,33.323593,6.2999654
11,1.6452107,15.959172,15.065207,10.776265,13.631934,13.709153,33.181786,6.2169147
12,1.6974509,18.147205,15.902666,10.574842,13.6533985,13.636854,32.990925,6.319345
13,1.619741,18.066467,15.928246,10.632082,12.93829,13.542627,32.922634,6.466156
14,1.5625622,27.341473,16.257624,10.884566,12.987878,13.632601,32.281765,6.4064803
15,1.6744494,28.1541,16.25031,11.007574,13.035208,14.009955,32.230713,6.638156
16,1.6223687,33.086617,16.061253,11.437738,12.93916,13.940152,31.23793,6.6197824
17,1.723474,33.722225,16.04304,11.498774,13.123878,14.380451,30.901941,6.658579
18,1.6769942,23.501398,15.788332,11.345503,13.156862,14.400763,30.226767,6.613974
19,1.7498453,22.84032,15.900244,10.938945,12.936603,15.408816,30.289192,6.6747007
20,1.8587823,17.514576,15.107198,10.502184,13.652956,15.42507,33.956856,6.4606237
21,1.6911325,17.512596,15.155918,10.929314,13.543037,16.26083,33.848797,6.5820093
22,1.6827211,20.75919,16.00039,10.764462,13.640037,14.450644,33.70198,6.6222024
23,1.6621794,20.482561,15.953026,10.803918,12.939295,14.442036,33.56437,6.596079
24,1.639065,33.28474,16.218979,11.163646,12.968122,14.324532,33.050373,6.5438786
25,1.7232964,34.168427,16.212046,11.254199,13.028512,14.318607,32.986095,6.6537423
26,1.6755189,35.621464,16.029053,11.672772,13.002314,14.249524,31.874908,6.6995964
27,1.6376338,35.991886,16.05441,11.69634,13.172126,14.219413,31.57424,6.6865506
28,1.7749302,23.522179,15.851338,11.592502,13.132932,14.197624,31.018261,6.6564813
29,1.6648872,23.468662,15.835207,11.25354,12.927803,14.227279,31.234926,6.516043
30,1.7501158,17.199577,15.145567,10.033173,14.239151,15.66197,33.839912,6.4383397
31,1.6943908,17.2081,15.183601,10.751772,13.878408,15.55371,33.808388,6.5475855
32,1.7789177,20.624998,15.798859,10.888028,14.0352125,16.860136,33.743713,6.552373
33,1.7271879,20.335339,15.7880125,10.825631,13.347546,14.42249,33.63868,6.5958257
34,1.6909055,33.694862,15.971644,11.173215,13.282124,14.431752,32.97357,6.615971
35,1.7054847,34.001545,15.979824,11.420087,13.166244,14.251251,32.98798,6.643366
36,1.7052585,35.205273,15.640326,11.653053,13.217969,14.265019,31.93768,6.633356
37,1.6945581,35.605816,15.677175,11.765037,13.553329,14.257714,31.729982,6.49766
38,1.6778,23.302195,15.635718,11.492601,13.535304,14.237456,31.16216,6.6112795
39,1.6587206,23.507496,15.617618,11.226543,13.788184,14.22879,31.15409,6.5664306
40,1.7902118,23.171112,15.185997,10.226036,14.242507,14.192905,33.483112,6.488201
41,1.7325553,23.172369,15.196234,10.842098,13.925093,15.614297,33.385525,6.494963
42,1.6803569,22.621075,15.803611,11.00057,14.011896,15.397732,33.452927,6.451393
43,1.7118732,22.628437,15.877324,10.779576,13.419519,16.816532,33.477978,6.600049
44,1.7040229,28.557812,16.002943,11.165423,13.412639,14.59043,33.13541,6.6754084
45,1.6851434,28.263948,15.977701,11.4105425,13.24707,14.585983,33.013554,6.6374927
46,1.6976142,28.483526,15.6512165,11.908551,13.278858,14.692414,32.510353,6.6154923
47,1.6858549,29.142662,15.691558,12.031353,13.618511,14.778402,32.292126,6.4918413
48,1.6630327,20.938536,15.653671,11.774817,13.495231,14.254156,31.83663,6.585438
49,1.7304872,21.275743,15.693703,11.599714,13.705354,14.291279,31.71738,6.6797614
50,1.7682711,23.216106,15.055956,10.754235,13.954875,14.422446,33.47173,6.4569592
51,1.7451965,23.195976,15.063444,10.992896,13.906323,14.305855,33.20094,6.5222583
52,1.6349839,22.626122,15.509828,10.916985,13.926743,15.658556,33.339527,6.460267
53,1.6948173,22.605047,15.5323715,10.61277,13.45703,15.498178,33.48966,6.574825
54,1.7989262,27.671532,15.485088,11.133949,13.490263,16.43768,33.20572,6.6811295
55,1.7104388,28.032166,15.47333,11.408402,13.560918,14.684705,32.759354,6.5910277
56,1.7540413,28.694061,15.266504,11.933268,13.587298,14.64588,32.381336,6.5352755
57,1.6231515,28.863764,15.306291,12.298256,14.1949,14.718842,32.411224,6.6670957
58,1.7468358,20.922142,15.245223,12.094463,14.029947,14.790148,31.882439,6.580995
59,1.7278872,21.067383,15.231219,11.624376,14.083745,14.252232,31.901625,6.5908875
60,1.6918745,24.198933,15.07762,11.149995,14.03293,14.259593,33.21455,6.4918213
61,1.7196494,24.149282,15.064272,11.184754,13.870855,14.416225,33.09923,6.4428215
62,1.7563077,17.84009,15.565867,11.047862,13.86987,14.303906,32.92242,6.3194785
63,1.7643454,18.279848,15.578022,10.461893,13.437207,15.638386,33.08616,6.411306
64,1.6544406,16.95349,15.547788,11.276309,13.42315,15.498434,32.739204,6.5103703
65,1.67143,16.490372,15.579576,11.866194,13.529312,16.530155,32.57389,6.626523
66,1.727152,17.884975,15.331228,11.9192505,13.47379,14.397224,32.488518,6.6790385
67,1.7244716,17.916603,15.324789,12.236229,14.067049,14.308939,32.528557,6.7268176
68,1.6787634,16.105333,15.252053,12.2247,14.018227,14.663316,32.33462,6.6646037
69,1.6998391,16.110855,15.207649,11.688077,14.134027,14.652292,32.259556,6.66803
70,1.722633,24.17994,15.016267,11.205062,13.868344,14.407454,32.691975,6.5203023
71,1.7315093,24.158564,14.878971,11.169849,13.765982,14.452718,32.91542,6.5204835
72,1.7065821,17.812912,15.035096,10.674278,13.838981,14.562815,32.754635,6.444845
73,1.7769972,18.386854,15.054132,10.410816,13.789015,14.473983,33.03684,6.4637237
74,1.8286206,17.375921,15.113253,11.437737,13.660272,15.42293,32.897274,6.64352
75,1.7182789,17.26006,15.065914,11.778993,13.722264,15.277811,32.81339,6.67672
76,1.7276263,18.668217,15.004199,11.978471,13.70325,15.842941,32.56243,6.6974063
77,1.8445334,18.70068,15.057236,12.235093,14.048624,14.505173,32.540802,6.6624517
78,1.6981685,16.792492,15.326835,12.1277485,14.003424,14.459773,32.337357,6.6258626
79,1.7909714,16.514795,15.273798,11.670621,14.080989,14.711898,32.24421,6.6573753
80,1.6507506,16.177294,14.993958,41.722065,13.81823,14.627551,61.81686,5.855372
81,1.6589701,15.024974,14.873344,41.69549,13.856907,14.386602,62.74467,5.9096894
82,1.6559591,14.981643,14.970246,41.877216,13.830429,14.499922,62.516262,5.9800997
83,1.8482008,14.26639,15.019382,41.90313,13.649173,14.569808,60.45507,6.0221643
84,1.8061742,14.375609,15.087981,42.17323,13.640979,14.537845,59.767033,6.0996842
85,1.6800807,14.579404,15.00844,42.228302,13.822377,15.423418,59.721363,6.018462
86,1.6606998,14.527077,14.9745,42.014618,13.813269,15.2625675,59.264214,6.0598307
87,1.737263,16.692163,15.106575,42.082314,14.005763,15.849645,58.41304,6.070935
88,1.7273655,16.676844,15.35295,41.898903,14.012526,8.495568,58.302452,6.048993
89,1.7467268,18.102129,15.224371,41.860615,14.092243,8.410294,56.76415,6.167011
90,1.4059125,15.894581,15.350741,41.732746,8.977736,8.134289,60.916595,6.0476637
91,1.4610555,16.11309,14.296537,41.68598,9.24367,8.046114,61.288044,5.7961917
92,1.365444,16.021646,14.334502,41.868305,9.528789,7.6832027,61.65692,5.9189267
93,1.4299744,15.478158,13.605316,41.888985,9.524799,7.846847,60.042248,6.0788703
94,1.4016825,15.611289,13.60859,42.177788,9.377319,8.042411,59.134453,5.9729486
95,1.4116703,15.195256,13.887999,42.248207,9.438618,8.052254,59.645504,5.981953
96,1.4363983,15.257165,13.814478,42.030407,9.477759,8.321071,59.567837,6.004957
97,1.4070052,15.616496,15.163148,42.036346,9.398895,8.25669,59.619946,5.9530473
98,1.3676212,15.667584,15.119752,41.851475,9.423305,8.184499,59.414623,6.0578575
99,1.3232683,16.135424,15.563904,41.858074,9.588842,8.227799,58.99179,6.058837
100,1.4143243,15.950198,15.369475,41.625267,9.0813,7.977269,61.639477,6.200747
101,1.416831,16.234537,14.253803,41.598907,9.304419,7.847477,62.060852,6.1283836
102,1.4194119,16.30984,14.329789,41.763668,9.343165,8.229802,62.27136,5.9501877
103,1.3258387,15.671487,13.643314,41.69885,9.42753,8.320176,60.733696,5.9351935
104,1.3108401,15.418792,13.623331,42.00513,9.523245,8.665894,60.006027,6.0300674
105,1.2573732,15.165416,13.924653,42.053413,9.496919,8.505422,59.828922,5.925913
106,1.3028541,15.365225,13.83998,42.034725,9.478031,8.446702,59.69621,5.921707
107,1.4283421,15.668058,15.173972,42.02462,9.414581,8.446303,60.229416,5.9820895
108,1.2507392,15.605009,15.092954,41.770695,9.294832,8.070421,60.10312,5.9621696
109,1.2823461,16.20665,15.556618,41.79722,9.5504465,8.266306,59.838955,5.969127
110,1.3588305,15.629901,14.659588,41.62963,9.034441,7.8386965,63.60662,5.962343
111,1.3496541,16.825764,13.977925,41.60888,9.122328,7.8848534,64.11831,6.1494126
112,1.3521019,17.11091,14.114074,41.73132,9.129898,8.173037,63.499447,6.067539
113,1.3690073,18.139124,13.944669,41.701008,9.206165,8.284508,62.043453,6.0776553
114,1.3998425,17.840694,13.885259,42.035187,9.471085,8.589406,61.74776,6.000159
115,1.3709662,22.696842,13.802616,42.042896,9.360997,8.455436,60.95519,5.9541583
116,1.4200912,22.693306,13.797351,42.077526,9.322622,8.469282,60.394966,5.878253
117,1.3545207,19.447279,13.91593,42.059036,9.163293,8.446263,61.82259,5.8944583
118,1.3621378,19.646933,13.819953,41.76325,9.128044,8.083347,62.097763,5.9493217
119,1.3943108,15.404676,14.008222,41.813164,9.300762,8.229486,62.473267,6.1000514
120,1.4420452,15.713526,14.658212,41.593925,9.032987,8.01592,63.943073,5.983901
121,1.343476,16.807735,14.026322,41.564274,9.134847,8.237167,64.07341,5.9430995
122,1.3476692,16.840927,14.072115,41.514057,9.321751,8.453539,63.28565,5.992181
123,1.3244617,17.954983,13.870593,41.471973,9.343975,8.70958,62.293243,5.9451256
124,1.3292327,17.803968,13.803985,41.62663,9.511806,8.708737,62.15869,6.0643854
125,1.3743693,23.45296,13.757058,41.629604,9.435122,8.692362,61.037994,5.876306
126,1.3877823,24.191397,13.791131,41.87234,9.387641,8.485362,60.3654,5.8293166
127,1.3953884,19.6796,13.994475,41.865314,9.260474,8.461706,62.088184,5.812907
128,1.3257821,19.48524,14.012901,42.129543,9.203524,8.160086,62.63349,5.8340464
129,1.3441806,15.437441,14.192428,42.221092,9.372098,8.223872,63.078815,5.9488792
130,1.3694336,15.58271,14.614084,41.622337,8.967567,7.997653,64.998184,6.1207414
131,1.3393337,17.425714,14.571518,41.572884,8.970518,8.2310505,64.910065,5.995111
132,1.3427765,17.062153,14.533684,41.50561,9.451331,8.40512,64.2521,5.941281
133,1.4062536,20.066338,14.328184,41.50353,9.488972,8.726332,63.565353,5.9292073
134,1.2967489,20.09403,14.329465,41.64385,9.423401,8.6114,63.267826,5.7873297
135,1.3782308,28.047394,13.65324,41.64075,9.382709,8.836178,62.24264,5.997152
136,1.3847926,28.90687,13.6870985,41.855457,9.401776,8.419986,61.747906,5.88456
137,1.3307508,22.157644,13.140035,41.8305,9.041423,8.471845,63.437424,5.8654575
138,1.3298223,21.746153,13.188136,42.17817,8.955715,8.296019,63.90479,5.847276
139,1.3953333,15.654387,13.203972,42.25831,9.449638,8.325978,63.67114,5.803849
140,1.3420775,15.96382,14.673993,41.551296,8.946574,8.345681,64.780106,5.8691115
141,1.3414745,17.56034,14.587576,41.48638,9.097574,8.492236,64.837234,6.0220413
142,1.2553488,16.944698,14.53596,41.573437,9.476207,8.670043,64.59328,5.943282
143,1.4029855,20.057339,14.31939,41.642357,9.334339,8.885806,64.1986,5.76119
144,1.2545068,20.138407,14.386551,41.764015,9.348789,8.494099,63.709415,5.893586
145,1.1922266,27.84923,13.7387495,41.787525,9.426383,8.824446,62.324432,5.756422
146,1.3421406,27.961403,13.748204,41.93061,9.408305,8.183183,61.901634,5.8788877
147,1.4073939,21.711153,13.125176,41.9206,8.935882,8.366737,63.146908,5.8313913
148,1.3773257,21.78891,13.162386,42.302616,8.987328,8.152169,63.09433,5.8810344
149,1.3774627,15.724475,13.191924,42.330406,9.532255,8.270209,63.19692,5.9092903
150,1.3278724,18.533634,14.041271,41.545055,9.283141,8.314057,63.963272,5.820374
151,1.4498739,19.773577,14.075722,41.480347,9.32163,8.436036,64.80518,5.880458
152,1.4400209,19.775858,13.979488,41.52957,9.38146,8.674233,64.76547,5.882287
153,1.460797,21.880573,13.85618,41.685116,9.185837,8.869552,64.34435,5.9330072
154,1.2945558,21.847727,13.961635,41.81523,9.330432,8.528242,63.55206,5.985917
155,1.4055969,22.498278,13.869137,41.790257,9.1533785,8.802556,61.700737,5.9223766
156,1.4509362,22.401228,13.839333,41.897903,9.232794,8.210383,61.22043,5.851342
157,1.4262443,17.898087,13.692569,41.901886,8.976877,8.436689,61.087044,5.7708216
158,1.3607466,18.061079,13.720025,42.28876,9.008386,8.303601,61.157684,5.696459
159,1.4575547,15.352666,13.518712,42.324657,9.5448675,8.491793,61.469383,5.801419
160,1.321125,18.494904,14.060967,16.393234,9.380641,8.486496,63.045506,5.834987
161,1.3812369,19.726738,14.152759,15.998082,9.325905,8.658702,64.36046,5.7514396
162,1.4332869,19.767351,14.142624,16.839308,9.353811,8.573521,64.51364,5.927607
163,1.3198227,21.943361,14.043211,17.80735,9.281829,8.641777,63.92504,5.979152
164,1.336079,21.89634,13.997739,16.804554,9.223566,8.235448,62.48733,5.9037795
165,1.3879344,22.312794,13.851034,16.362185,9.086113,8.454883,60.204334,5.8632255
166,1.3014977,22.344631,13.809842,18.208784,9.155969,7.991641,59.941185,5.928349
167,1.4062463,18.122536,13.604479,19.549694,8.874765,8.163704,59.84636,6.027835
168,1.4106743,18.239437,13.662747,19.987057,8.900385,8.282084,60.218346,7.028149
169,1.3553944,15.4759865,13.505512,19.445055,9.373751,8.542217,60.914654,7.016362
170,1.3842243,19.937622,14.379439,19.303165,9.572328,8.446435,18.252033,7.107238
171,1.3916957,19.965498,13.843376,16.455671,9.198772,8.685806,19.87102,7.0881243
172,1.371839,17.003304,13.827383,16.625933,9.095943,8.595839,19.878326,7.0978565
173,1.4161043,17.04368,13.843481,17.491352,9.482291,8.751311,21.916111,6.874801
174,1.3248013,18.339384,13.814522,17.427774,9.497614,8.371417,22.04096,7.0594087
175,1.3017985,18.216814,13.898083,16.70897,9.268801,8.468083,22.404415,6.9511423
176,1.2564744,22.84492,13.8950405,17.313242,9.389544,7.988737,22.591473,6.8774548
177,1.3920403,22.874739,13.750473,18.835882,9.374472,8.20726,23.575996,7.369395
178,1.4867923,24.307384,13.803206,20.067282,9.321349,8.639392,23.824667,7.0471563
179,1.510866,24.381008,13.824444,20.273052,9.410673,8.582694,22.606781,7.040964
180,1.0131546,20.48684,12.088361,19.58188,9.501897,8.628155,18.248602,7.1503067
181,1.15897,20.500395,12.147995,20.533766,9.556739,8.445217,19.964254,7.036388
182,1.1024541,18.275255,12.147392,16.688707,9.542005,8.500355,20.166971,7.1091313
183,0.94607085,18.337044,12.127313,16.982338,9.475214,8.406465,22.288519,6.9294853
184,0.913087,21.526785,12.4248,17.794836,9.513164,8.514612,22.237423,7.215901
185,1.0418099,21.600248,12.436131,16.753048,9.495497,8.57271,22.473286,6.9419775
186,1.0845869,27.797562,12.405587,14.788905,9.332183,8.474142,22.68977,6.745042
187,1.2177354,27.801666,12.407007,16.881025,9.415026,8.658847,23.568504,7.203013
188,1.168377,23.826637,12.467702,19.236269,9.472857,8.542292,23.86132,7.168942
189,0.9240018,23.800959,12.462297,20.112719,9.413947,8.615479,22.811316,7.1093655
190,0.9048436,20.521736,12.121681,20.693485,9.422524,8.617225,18.611536,7.1533036
191,1.0427377,20.52792,12.159678,19.357761,9.629573,8.67139,20.641714,6.9959617
192,1.0459205,18.327614,12.15583,17.825384,9.680407,8.52008,21.097584,7.122994
193,1.0036868,18.437914,12.144523,17.0394,9.745904,8.569842,23.462055,7.033897
194,0.88788325,21.495434,12.412238,16.91426,9.749275,8.418067,23.316711,7.373935
195,1.0020936,21.566233,12.432105,17.800749,9.702687,8.489259,23.254135,7.340803
196,1.173634,27.886889,12.389361,16.957197,9.603241,8.505026,23.519897,7.070278
197,1.1772871,29.336111,12.369579,14.374593,9.436325,8.400515,24.725838,7.3503127
