,"B2
490 nm","B3
560 nm","B4
665 nm","B5
705 nm","B6
750 nm","B7
783 nm","B8
842 nm","B8A
865 nm","B11
1910 nm","B12
2190 nm",lc
mean,0.03674759467758444,0.06374831115660184,0.07470921187308086,0.08049406345957011,0.06611033776867963,0.07296949846468782,0.062110542476970315,0.057965404298874104,0.00455639713408393,0.0024561924257932447,Water
std,0.018232132979974662,0.03306877179060553,0.05665451829945228,0.06005913194074218,0.06669875162880272,0.07179941329169057,0.0671928134682206,0.06781217710254243,0.006226269911115108,0.0030781762610484014,Water
mean,0.05707619760479042,0.08628667664670658,0.09075,0.12807994011976048,0.24548473053892217,0.27984071856287424,0.27962260479041917,0.30677335329341315,0.2501520958083832,0.17724880239520957,Settlement
std,0.03507559733701766,0.039448952675573454,0.05255929599226381,0.042466428599746864,0.04807346864106702,0.05399594343771364,0.06097102254519268,0.05962837694306714,0.06016500284064977,0.06134695207830806,Settlement
mean,0.033528833333333334,0.0444715,0.0555655,0.06762116666666668,0.0958125,0.10787349999999998,0.10669083333333333,0.12582316666666665,0.2025145,0.1575695,Dark soil
std,0.0035926913343521136,0.0038305952779743514,0.0069456963350911635,0.007334204312242177,0.013423760874286188,0.016146244654534177,0.016905899810013048,0.02034443675349399,0.047111597766971644,0.033533527733007266,Dark soil
mean,0.12387427536231885,0.15620670289855074,0.18994873188405798,0.20500452898550725,0.23907952898550724,0.25277844202898553,0.24844302536231885,0.2746025362318841,0.3184870471014493,0.25308858695652175, Bright soil
std,0.04294655547135645,0.046593239273141705,0.0507299101916707,0.04639034837010206,0.04802535592523293,0.05018865106081234,0.04938444157907757,0.05321829957542333,0.12272972895263948,0.1414447881744627, Bright soil
mean,0.024170164447924823,0.055727642913077524,0.03276797180892717,0.08710516836335161,0.2583101801096319,0.30483868441660145,0.3072293657008614,0.3382683633516053,0.16962928739232577,0.07660736100234924,Vegetation
std,0.009209249527177197,0.01832502473419211,0.015608011267000142,0.023536807796076944,0.038794619448642965,0.04513446028787666,0.047273714991978404,0.04692497097664961,0.030154612354971938,0.01808548862351351,Vegetation
mean,0.021605046728971962,0.04621009345794393,0.028209532710280375,0.07156093457943925,0.26875158878504674,0.3457603738317757,0.339188785046729,0.3739271028037383,0.14727401869158877,0.06783607476635514,Agriculture
std,0.007512924740288766,0.012651932502928752,0.012839027973111518,0.021353035445117196,0.03248728463878402,0.05465646680088156,0.05478721919478943,0.05669501423047957,0.04434383676778589,0.029803548847235135,Agriculture
