,TOA Wa,TOA Ve,BOA Wa,BOA Ve
"B2
490 nm",0.1217,0.1008,0.06554327145087734,0.03454158223051036
"B3
560 nm",0.1044,0.0799,0.07953699923807797,0.04126458681910465
"B4
665 nm",0.0848,0.0548,0.07000510012802964,0.030813518833191163
"B5
705 nm",0.0788,0.0734,0.06949387898654788,0.060890246849156
"B6
750 nm",0.0537,0.1723,0.03944683925719181,0.1817738857702509
"B7
783 nm",0.0529,0.2239,0.04090734352402271,0.2280964675326121
"B8
842 nm",0.0425,0.2171,0.031631877348873155,0.2382251349423767
"B8A
865 nm",0.0375,0.2525,0.023840990213582342,0.2541920518844413
"B11
1910 nm",0.0085,0.1219,0.003766018596192689,0.1329844155996937
"B12
2190 nm",0.0054,0.0543,0.003170192660703257,0.06488162816604429
