,2017
0,2017-01-06
1,2017-01-19
2,2017-02-08
3,2017-02-15
4,2017-02-18
5,2017-02-25
6,2017-03-07
7,2017-03-17
8,2017-03-27
9,2017-03-30
10,2017-04-16
11,2017-04-19
12,2017-04-26
13,2017-05-09
14,2017-05-16
15,2017-05-19
16,2017-06-08
17,2017-06-15
18,2017-06-25
19,2017-06-28
20,2017-06-30
21,2017-07-05
22,2017-07-13
23,2017-07-15
24,2017-07-18
25,2017-07-20
26,2017-07-23
27,2017-07-25
28,2017-07-28
29,2017-07-30
30,2017-08-02
31,2017-08-04
32,2017-08-09
33,2017-08-12
34,2017-08-22
35,2017-08-24
36,2017-08-27
37,2017-08-29
38,2017-09-03
39,2017-09-06
40,2017-09-08
41,2017-09-11
42,2017-09-16
43,2017-10-08
44,2017-10-18
45,2017-10-23
46,2017-11-02
47,2017-11-17
48,2017-11-20
49,2017-12-17
50,2017-12-25
