,Lat. S2-DWM (Sw),Lat. S2-DWM (Sw + Wl),Lat. JRC-GSW-S (Sw),km
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.1
0.2,0.0,0.0,0.0,0.2
0.3,0.0,0.0,0.0,0.3
0.4,0.0,0.0,0.0,0.4
0.5,0.0,0.0,0.0,0.5
0.6,0.0,0.0,0.0,0.6
0.7,0.0,0.0,0.0,0.7
0.8,0.0,0.0,0.0,0.8
0.9,0.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,1.0
1.1,0.0,0.0,0.0,1.1
1.2,0.0,0.0,0.0,1.2
1.3,0.0,0.0,0.0,1.3
1.4,0.0,0.0,0.0,1.4
1.5,0.0,0.0,0.0,1.5
1.6,0.0,0.0,0.0,1.6
1.7,0.0,0.0,0.0,1.7
1.8,0.0,0.0,0.0,1.8
1.9,0.0,0.0,0.0,1.9
2.0,0.0,0.0,0.0,2.0
2.1,0.0,0.0,0.0,2.1
2.2,0.0,0.0,0.0,2.2
2.3,0.0,0.0,0.0,2.3
2.4,0.0,0.0,0.0,2.4
2.5,0.0,0.0,0.0,2.5
2.6,0.0,0.0,0.0,2.6
2.7,0.0,0.0,0.0,2.7
2.8,0.0,0.0,0.0,2.8
2.9,0.0,0.0,0.0,2.9
3.0,0.0,0.0,0.0,3.0
3.1,0.0,0.0,0.0,3.1
3.2,0.0,0.0,0.0,3.2
3.3,0.0,0.0,0.0,3.3
3.4,0.0,0.0,0.0,3.4
3.5,0.0,0.0,0.0,3.5
3.6,0.0,0.0,0.0,3.6
3.7,0.0,0.0,0.0,3.7
3.8,0.0,0.0,0.0,3.8
3.9,0.0,0.0,0.0,3.9
4.0,0.0,0.0,0.0,4.0
4.1,0.0,0.0,0.0,4.1
4.2,0.0,0.0,0.0,4.2
4.3,0.0,0.0,0.0,4.3
4.4,0.0,0.0,0.0,4.4
4.5,0.0,0.0,0.0,4.5
4.6,0.0,0.0,0.0,4.6
4.7,0.0,0.0,0.0,4.7
4.8,0.0,0.0,0.0,4.8
4.9,0.0,0.0,0.0,4.9
5.0,0.0,0.0,0.0,5.0
5.1,0.0,0.0,0.0,5.1
5.2,0.0,0.0,0.0,5.2
5.3,0.0,0.0,0.0,5.3
5.4,0.0,0.0,0.0,5.4
5.5,0.0,0.05,0.0,5.5
5.6,0.0,0.02,0.0,5.6
5.7,0.0,0.0,0.0,5.7
5.8,0.0,0.0,0.0,5.8
5.9,0.0,0.0,0.0,5.9
6.0,0.0,0.0,0.0,6.0
6.1,0.0,0.0,0.0,6.1
6.2,0.0,0.0,0.0,6.2
6.3,0.0,0.0,0.0,6.3
6.4,0.0,0.0,0.0,6.4
6.5,0.0,0.0,0.0,6.5
6.6,0.0,0.0,0.0,6.6
6.7,0.0,0.0,0.0,6.7
6.8,0.0,0.0,0.0,6.8
6.9,0.0,0.04,0.0,6.9
7.0,0.0,0.06,0.0,7.0
7.1,0.0,0.15,0.0,7.1
7.2,0.0,0.06,0.0,7.2
7.3,0.0,0.0,0.0,7.3
7.4,0.0,0.0,0.0,7.4
7.5,0.0,0.06,0.0,7.5
7.6,0.0,0.13,0.0,7.6
7.7,0.0,0.0,0.0,7.7
7.8,0.0,0.11,0.02,7.8
7.9,0.0,0.2,0.0,7.9
8.0,0.0,0.3,0.05,8.0
8.1,0.0,0.41,0.0,8.1
8.2,0.0,0.27,0.03,8.2
8.3,0.0,0.34,0.0,8.3
8.4,0.0,0.28,0.0,8.4
8.5,0.0,0.79,0.13,8.5
8.6,0.08,0.67,0.18,8.6
8.7,0.08,0.28,0.18,8.7
8.8,0.14,0.36,0.22,8.8
8.9,0.18,0.54,0.18,8.9
9.0,0.24,0.53,0.31,9.0
9.1,0.28,0.44,0.29,9.1
9.2,0.32,0.46,0.32,9.2
9.3,0.3,0.4,0.34,9.3
9.4,0.14,0.2,0.32,9.4
9.5,0.02,0.12,0.29,9.5
9.6,0.1,0.2,0.4,9.6
9.7,0.1,0.16,0.35,9.7
9.8,0.04,0.1,0.18,9.8
9.9,0.02,0.08,0.16,9.9
10.0,0.02,0.08,0.18,10.0
10.1,0.0,0.22,0.06,10.1
10.2,0.0,0.16,0.06,10.2
10.3,0.0,0.09,0.09,10.3
10.4,0.02,0.06,0.07,10.4
10.5,0.02,0.04,0.05,10.5
10.6,0.0,0.02,0.06,10.6
10.7,0.0,0.0,0.05,10.7
10.8,0.0,0.0,0.05,10.8
10.9,0.0,0.0,0.06,10.9
11.0,0.0,0.02,0.03,11.0
11.1,0.0,0.06,0.06,11.1
11.2,0.02,0.02,0.06,11.2
11.3,0.02,0.21,0.0,11.3
11.4,0.0,0.1,0.05,11.4
11.5,0.0,0.08,0.02,11.5
11.6,0.02,0.16,0.05,11.6
11.7,0.02,0.11,0.12,11.7
11.8,0.02,0.06,0.02,11.8
11.9,0.02,0.08,0.03,11.9
12.0,0.0,0.02,0.0,12.0
12.1,0.0,0.06,0.0,12.1
12.2,0.0,0.0,0.03,12.2
12.3,0.0,0.0,0.03,12.3
12.4,0.02,0.04,0.0,12.4
12.5,0.02,0.08,0.03,12.5
12.6,0.02,0.16,0.11,12.6
12.7,0.0,0.14,0.02,12.7
12.8,0.0,0.28,0.06,12.8
12.9,0.0,0.14,0.03,12.9
13.0,0.02,0.14,0.04,13.0
13.1,0.02,0.39,0.11,13.1
13.2,0.0,0.14,0.04,13.2
13.3,0.01,0.28,0.09,13.3
13.4,0.01,0.11,0.05,13.4
13.5,0.0,0.12,0.02,13.5
13.6,0.0,0.08,0.06,13.6
13.7,0.0,0.11,0.05,13.7
13.8,0.0,0.2,0.12,13.8
13.9,0.0,0.4,0.05,13.9
14.0,0.0,0.06,0.08,14.0
14.1,0.0,0.37,0.03,14.1
14.2,0.0,0.29,0.08,14.2
14.3,0.0,0.15,0.06,14.3
14.4,0.0,0.1,0.02,14.4
14.5,0.0,0.1,0.1,14.5
14.6,0.0,0.3,0.08,14.6
14.7,0.0,0.05,0.08,14.7
14.8,0.0,0.45,0.14,14.8
14.9,0.0,0.4,0.04,14.9
15.0,0.0,0.44,0.09,15.0
15.1,0.0,0.38,0.05,15.1
15.2,0.06,0.27,0.12,15.2
15.3,0.02,0.15,0.11,15.3
15.4,0.02,0.35,0.06,15.4
15.5,0.0,0.3,0.05,15.5
15.6,0.02,0.14,0.05,15.6
15.7,0.02,0.02,0.08,15.7
15.8,0.0,0.02,0.03,15.8
15.9,0.0,0.1,0.11,15.9
16.0,0.0,0.28,0.19,16.0
16.1,0.05,0.18,0.1,16.1
16.2,0.05,0.22,0.25,16.2
16.3,0.04,0.14,0.14,16.3
16.4,0.04,0.14,0.21,16.4
16.5,0.04,0.1,0.17,16.5
16.6,0.02,0.1,0.14,16.6
16.7,0.14,0.22,0.5,16.7
16.8,0.13,0.69,0.21,16.8
16.9,0.23,0.87,0.44,16.9
17.0,0.26,1.63,0.38,17.0
17.1,0.26,1.49,0.76,17.1
17.2,0.82,1.96,0.76,17.2
17.3,0.54,1.95,0.49,17.3
17.4,0.2,1.34,0.45,17.4
17.5,0.0,1.37,0.14,17.5
17.6,0.0,0.93,0.1,17.6
17.7,0.0,1.48,0.0,17.7
17.8,0.0,0.62,0.0,17.8
17.9,0.0,0.06,0.0,17.9
18.0,0.0,0.08,0.03,18.0
18.1,0.0,0.39,0.14,18.1
18.2,0.11,0.36,0.18,18.2
18.3,0.05,0.7,0.38,18.3
18.4,0.06,0.32,0.14,18.4
18.5,0.03,0.34,0.14,18.5
18.6,0.1,0.3,0.18,18.6
18.7,0.18,0.34,0.19,18.7
18.8,0.15,0.6,0.35,18.8
18.9,0.09,0.68,0.13,18.9
19.0,0.47,1.18,0.76,19.0
19.1,0.37,1.2,0.66,19.1
19.2,0.24,1.24,0.3,19.2
19.3,0.42,1.25,0.97,19.3
19.4,0.27,1.28,0.88,19.4
19.5,0.34,1.36,0.91,19.5
19.6,0.5,1.17,0.7,19.6
19.7,0.06,1.13,0.45,19.7
19.8,0.0,0.86,0.38,19.8
19.9,0.0,0.77,0.28,19.9
20.0,0.0,0.48,0.24,20.0
20.1,0.06,0.59,0.2,20.1
20.2,0.02,0.37,0.22,20.2
20.3,0.12,0.41,0.26,20.3
20.4,0.0,0.54,0.16,20.4
20.5,0.0,0.65,0.09,20.5
20.6,0.0,0.45,0.14,20.6
20.7,0.0,0.36,0.11,20.7
20.8,0.0,0.34,0.0,20.8
20.9,0.0,0.32,0.03,20.9
21.0,0.0,0.36,0.0,21.0
21.1,0.0,0.18,0.0,21.1
21.2,0.0,0.31,0.0,21.2
21.3,0.0,0.0,0.0,21.3
21.4,0.0,0.04,0.0,21.4
21.5,0.0,0.0,0.0,21.5
21.6,0.0,0.0,0.06,21.6
21.7,0.0,0.02,0.0,21.7
21.8,0.0,0.12,0.0,21.8
21.9,0.0,0.18,0.0,21.9
22.0,0.0,0.1,0.0,22.0
22.1,0.0,0.22,0.0,22.1
22.2,0.0,0.08,0.0,22.2
22.3,0.0,0.22,0.0,22.3
22.4,0.0,0.02,0.0,22.4
22.5,0.0,0.02,0.0,22.5
22.6,0.0,0.04,0.0,22.6
22.7,0.0,0.04,0.0,22.7
22.8,0.0,0.02,0.0,22.8
22.9,0.0,0.16,0.0,22.9
23.0,0.0,0.62,0.0,23.0
23.1,0.0,0.16,0.0,23.1
23.2,0.0,0.2,0.0,23.2
23.3,0.0,0.06,0.0,23.3
23.4,0.0,0.08,0.0,23.4
23.5,0.0,0.0,0.0,23.5
23.6,0.0,0.0,0.0,23.6
23.7,0.0,0.2,0.0,23.7
23.8,0.0,0.18,0.0,23.8
23.9,0.0,0.1,0.0,23.9
24.0,0.06,0.09,0.03,24.0
24.1,0.08,0.14,0.0,24.1
24.2,0.17,0.36,0.0,24.2
24.3,0.16,0.21,0.05,24.3
24.4,0.1,0.16,0.03,24.4
24.5,0.04,0.1,0.02,24.5
24.6,0.06,0.36,0.05,24.6
24.7,0.14,0.18,0.03,24.7
24.8,0.12,0.25,0.0,24.8
24.9,0.02,0.22,0.03,24.9
25.0,0.0,0.11,0.0,25.0
25.1,0.0,0.03,0.0,25.1
25.2,0.06,0.18,0.06,25.2
25.3,0.02,0.06,0.0,25.3
25.4,0.06,0.08,0.0,25.4
25.5,0.0,0.08,0.0,25.5
25.6,0.0,0.0,0.0,25.6
25.7,0.0,0.0,0.02,25.7
25.8,0.0,0.0,0.03,25.8
25.9,0.0,0.06,0.0,25.9
26.0,0.0,0.17,0.05,26.0
26.1,0.0,0.09,0.0,26.1
26.2,0.0,0.0,0.0,26.2
26.3,0.0,0.05,0.0,26.3
26.4,0.0,0.08,0.0,26.4
26.5,0.0,0.1,0.0,26.5
26.6,0.0,0.0,0.0,26.6
26.7,0.0,0.24,0.08,26.7
26.8,0.0,0.3,0.0,26.8
26.9,0.0,0.38,0.27,26.9
27.0,0.0,0.34,0.21,27.0
27.1,0.0,0.14,0.13,27.1
27.2,0.0,0.04,0.0,27.2
27.3,0.0,0.21,0.11,27.3
27.4,0.01,0.38,0.26,27.4
27.5,0.18,0.5,0.31,27.5
27.6,0.13,0.56,0.37,27.6
27.7,0.22,0.85,0.87,27.7
27.8,0.25,0.72,0.75,27.8
27.9,0.16,0.61,0.78,27.9
28.0,0.22,0.79,0.79,28.0
28.1,0.12,0.74,0.68,28.1
28.2,0.09,0.86,0.55,28.2
28.3,0.11,0.5,0.56,28.3
28.4,0.22,0.64,0.69,28.4
28.5,0.36,0.58,0.48,28.5
28.6,0.0,0.04,0.0,28.6
28.7,0.0,0.1,0.0,28.7
28.8,0.0,0.1,0.0,28.8
28.9,0.0,0.08,0.0,28.9
29.0,0.0,0.04,0.0,29.0
29.1,0.0,0.08,0.05,29.1
29.2,0.02,0.2,0.14,29.2
29.3,0.05,0.3,0.14,29.3
29.4,0.06,0.18,0.08,29.4
29.5,0.0,0.1,0.02,29.5
29.6,0.0,0.0,0.0,29.6
29.7,0.0,0.0,0.0,29.7
29.8,0.0,0.0,0.0,29.8
29.9,0.0,0.0,0.0,29.9
30.0,0.0,0.0,0.0,30.0
30.1,0.0,0.0,0.0,30.1
30.2,0.0,0.11,0.03,30.2
30.3,0.0,0.02,0.0,30.3
30.4,0.0,0.0,0.0,30.4
30.5,0.0,0.0,0.0,30.5
30.6,0.0,0.0,0.0,30.6
30.7,0.0,0.0,0.0,30.7
30.8,0.0,0.0,0.0,30.8
30.9,0.0,0.0,0.0,30.9
31.0,0.0,0.0,0.0,31.0
31.1,0.0,0.0,0.0,31.1
31.2,0.0,0.0,0.0,31.2
31.3,0.0,0.32,0.14,31.3
31.4,0.0,0.07,0.03,31.4
31.5,0.0,0.12,0.07,31.5
31.6,0.0,0.12,0.03,31.6
31.7,0.0,0.16,0.0,31.7
31.8,0.0,0.2,0.02,31.8
31.9,0.0,0.19,0.0,31.9
32.0,0.0,0.0,0.0,32.0
32.1,0.0,0.0,0.0,32.1
32.2,0.0,0.04,0.0,32.2
32.3,0.0,0.16,0.0,32.3
32.4,0.0,0.02,0.0,32.4
32.5,0.0,0.06,0.0,32.5
32.6,0.0,0.02,0.0,32.6
32.7,0.0,0.02,0.0,32.7
32.8,0.0,0.02,0.0,32.8
32.9,0.0,0.02,0.0,32.9
33.0,0.0,0.11,0.0,33.0
33.1,0.0,0.0,0.0,33.1
33.2,0.0,0.0,0.0,33.2
33.3,0.0,0.0,0.0,33.3
33.4,0.0,0.0,0.0,33.4
33.5,0.0,0.0,0.0,33.5
33.6,0.0,0.0,0.0,33.6
33.7,0.0,0.0,0.0,33.7
33.8,0.0,0.0,0.0,33.8
33.9,0.0,0.0,0.0,33.9
34.0,0.0,0.0,0.0,34.0
34.1,0.0,0.0,0.0,34.1
34.2,0.0,0.0,0.0,34.2
34.3,0.0,0.0,0.0,34.3
34.4,0.0,0.0,0.0,34.4
34.5,0.0,0.0,0.0,34.5
34.6,0.0,0.0,0.0,34.6
34.7,0.0,0.0,0.0,34.7
34.8,0.0,0.0,0.0,34.8
34.9,0.0,0.0,0.0,34.9
35.0,0.0,0.0,0.0,35.0
35.1,0.0,0.0,0.0,35.1
35.2,0.0,0.0,0.0,35.2
35.3,0.0,0.0,0.0,35.3
35.4,0.0,0.0,0.0,35.4
35.5,0.0,0.0,0.0,35.5
35.6,0.0,0.0,0.0,35.6
35.7,0.0,0.0,0.0,35.7
35.8,0.0,0.0,0.0,35.8
35.9,0.0,0.0,0.0,35.9
36.0,0.0,0.0,0.0,36.0
36.1,0.0,0.0,0.0,36.1
36.2,0.0,0.0,0.0,36.2
36.3,0.0,0.0,0.0,36.3
36.4,0.0,0.0,0.0,36.4
36.5,0.0,0.0,0.0,36.5
36.6,0.0,0.0,0.0,36.6
36.7,0.0,0.0,0.0,36.7
36.8,0.0,0.0,0.0,36.8
36.9,0.0,0.0,0.0,36.9
37.0,0.0,0.0,0.0,37.0
37.1,0.0,0.1,0.0,37.1
37.2,0.0,0.0,0.0,37.2
37.3,0.0,0.03,0.0,37.3
37.4,0.0,0.06,0.0,37.4
37.5,0.0,0.04,0.03,37.5
37.6,0.0,0.0,0.0,37.6
37.7,0.0,0.0,0.0,37.7
37.8,0.0,0.0,0.0,37.8
37.9,0.0,0.02,0.0,37.9
38.0,0.0,0.0,0.0,38.0
38.1,0.0,0.0,0.0,38.1
38.2,0.0,0.0,0.0,38.2
38.3,0.0,0.0,0.0,38.3
38.4,0.0,0.0,0.0,38.4
38.5,0.0,0.0,0.0,38.5
38.6,0.0,0.0,0.0,38.6
