,Lon. S2-DWM (Sw),Lon. S2-DWM (Sw + Wl),Lon. JRC-GSW-S (Sw),km
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.1
0.2,0.0,0.0,0.0,0.2
0.3,0.0,0.0,0.0,0.3
0.4,0.0,0.0,0.0,0.4
0.5,0.0,0.0,0.0,0.5
0.6,0.0,0.0,0.0,0.6
0.7,0.0,0.0,0.0,0.7
0.8,0.0,0.0,0.0,0.8
0.9,0.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,1.0
1.1,0.0,0.0,0.0,1.1
1.2,0.0,0.0,0.0,1.2
1.3,0.0,0.0,0.0,1.3
1.4,0.0,0.0,0.0,1.4
1.5,0.0,0.0,0.0,1.5
1.6,0.0,0.0,0.0,1.6
1.7,0.0,0.0,0.0,1.7
1.8,0.0,0.0,0.0,1.8
1.9,0.0,0.0,0.0,1.9
2.0,0.0,0.0,0.0,2.0
2.1,0.0,0.0,0.0,2.1
2.2,0.0,0.0,0.0,2.2
2.3,0.0,0.0,0.0,2.3
2.4,0.0,0.0,0.0,2.4
2.5,0.0,0.0,0.0,2.5
2.6,0.0,0.0,0.0,2.6
2.7,0.0,0.0,0.0,2.7
2.8,0.0,0.0,0.0,2.8
2.9,0.0,0.0,0.0,2.9
3.0,0.0,0.06,0.29,3.0
3.1,0.11,0.61,0.69,3.1
3.2,0.2,0.78,0.65,3.2
3.3,0.06,0.6,0.75,3.3
3.4,0.0,0.35,0.45,3.4
3.5,0.06,0.62,0.42,3.5
3.6,0.0,1.15,0.75,3.6
3.7,0.31,1.36,0.96,3.7
3.8,0.49,1.33,0.75,3.8
3.9,0.84,1.37,0.76,3.9
4.0,0.31,0.9,0.51,4.0
4.1,0.14,0.56,0.27,4.1
4.2,0.18,0.33,0.3,4.2
4.3,0.22,0.54,0.26,4.3
4.4,0.22,0.5,0.27,4.4
4.5,0.06,0.16,0.12,4.5
4.6,0.02,0.09,0.06,4.6
4.7,0.12,0.17,0.15,4.7
4.8,0.1,0.22,0.12,4.8
4.9,0.0,0.15,0.0,4.9
5.0,0.0,0.03,0.0,5.0
5.1,0.0,0.0,0.0,5.1
5.2,0.0,0.0,0.0,5.2
5.3,0.0,0.0,0.0,5.3
5.4,0.0,0.0,0.0,5.4
5.5,0.0,0.0,0.0,5.5
5.6,0.0,0.0,0.0,5.6
5.7,0.0,0.0,0.0,5.7
5.8,0.0,0.0,0.0,5.8
5.9,0.0,0.0,0.0,5.9
6.0,0.0,0.0,0.0,6.0
6.1,0.0,0.0,0.0,6.1
6.2,0.0,0.0,0.0,6.2
6.3,0.0,0.0,0.0,6.3
6.4,0.0,0.0,0.0,6.4
6.5,0.0,0.0,0.0,6.5
6.6,0.0,0.03,0.0,6.6
6.7,0.0,0.1,0.0,6.7
6.8,0.0,0.0,0.0,6.8
6.9,0.0,0.0,0.0,6.9
7.0,0.0,0.0,0.0,7.0
7.1,0.0,0.0,0.0,7.1
7.2,0.0,0.0,0.0,7.2
7.3,0.0,0.18,0.0,7.3
7.4,0.0,0.32,0.0,7.4
7.5,0.0,0.1,0.0,7.5
7.6,0.0,0.0,0.0,7.6
7.7,0.0,0.08,0.0,7.7
7.8,0.0,0.6,0.05,7.8
7.9,0.0,0.48,0.0,7.9
8.0,0.0,0.95,0.0,8.0
8.1,0.0,1.33,0.0,8.1
8.2,0.0,0.78,0.0,8.2
8.3,0.0,0.67,0.0,8.3
8.4,0.0,0.87,0.0,8.4
8.5,0.0,0.88,0.0,8.5
8.6,0.0,1.34,0.15,8.6
8.7,0.04,1.62,0.15,8.7
8.8,0.08,1.82,0.21,8.8
8.9,0.14,1.91,0.27,8.9
9.0,0.0,1.8,0.18,9.0
9.1,0.15,2.75,0.48,9.1
9.2,0.04,2.37,0.03,9.2
9.3,0.0,1.98,0.0,9.3
9.4,0.14,1.56,0.24,9.4
9.5,0.3,1.06,0.35,9.5
9.6,0.02,1.11,0.08,9.6
9.7,0.38,0.95,0.42,9.7
9.8,0.88,1.65,1.13,9.8
9.9,0.88,1.5,1.25,9.9
10.0,1.09,1.77,1.91,10.0
10.1,0.56,0.91,2.15,10.1
10.2,0.4,0.95,2.42,10.2
10.3,0.36,1.0,2.57,10.3
10.4,0.22,1.19,2.71,10.4
10.5,0.93,1.53,3.6,10.5
10.6,1.07,1.74,4.39,10.6
10.7,1.21,1.96,5.93,10.7
10.8,0.86,1.74,6.38,10.8
10.9,0.55,2.6,5.61,10.9
11.0,0.55,2.89,3.91,11.0
11.1,0.55,3.52,3.62,11.1
11.2,0.93,3.17,3.65,11.2
11.3,0.65,3.38,3.26,11.3
11.4,0.71,3.5,3.34,11.4
11.5,0.5,3.13,2.83,11.5
11.6,0.45,3.61,3.26,11.6
11.7,0.49,3.83,3.02,11.7
11.8,0.87,4.41,4.73,11.8
11.9,0.54,3.34,5.5,11.9
12.0,0.91,3.12,5.86,12.0
12.1,0.77,2.33,6.24,12.1
12.2,0.8,2.72,5.68,12.2
12.3,0.33,1.58,4.94,12.3
12.4,0.28,1.36,4.36,12.4
12.5,0.55,1.64,3.53,12.5
12.6,0.99,2.2,2.54,12.6
12.7,0.3,1.98,1.26,12.7
12.8,0.45,1.21,1.29,12.8
12.9,0.48,1.25,3.14,12.9
13.0,0.59,1.73,3.26,13.0
13.1,0.46,1.48,2.04,13.1
13.2,0.65,1.37,2.06,13.2
13.3,0.43,0.89,1.74,13.3
13.4,0.38,0.98,1.97,13.4
13.5,0.6,1.62,2.33,13.5
13.6,0.75,1.65,2.6,13.6
13.7,0.87,1.61,3.41,13.7
13.8,0.85,1.82,3.1,13.8
13.9,1.14,2.16,3.13,13.9
14.0,1.23,2.38,4.66,14.0
14.1,1.18,2.99,4.89,14.1
14.2,0.9,2.37,4.71,14.2
14.3,1.63,3.66,5.75,14.3
14.4,2.55,5.17,5.77,14.4
14.5,2.58,5.56,6.3,14.5
14.6,1.97,5.73,5.93,14.6
14.7,1.69,5.66,5.98,14.7
14.8,1.55,5.55,5.43,14.8
14.9,1.39,6.81,5.5,14.9
15.0,1.35,6.47,6.16,15.0
15.1,2.06,6.85,7.55,15.1
15.2,2.44,6.77,6.59,15.2
15.3,2.68,6.71,5.57,15.3
15.4,2.52,5.46,5.79,15.4
15.5,2.85,5.81,6.39,15.5
15.6,2.5,5.05,6.72,15.6
15.7,2.16,5.18,6.81,15.7
15.8,2.76,6.31,7.09,15.8
15.9,1.24,3.77,5.37,15.9
16.0,1.66,3.83,4.89,16.0
16.1,1.91,5.22,5.7,16.1
16.2,2.3,6.62,6.27,16.2
16.3,2.31,5.32,5.25,16.3
16.4,1.5,4.12,3.57,16.4
16.5,0.52,2.87,2.51,16.5
16.6,0.47,3.6,3.5,16.6
16.7,0.72,3.6,2.87,16.7
16.8,0.83,4.48,3.78,16.8
16.9,1.6,4.21,4.7,16.9
17.0,2.24,4.86,4.76,17.0
17.1,2.83,5.24,5.12,17.1
17.2,2.71,4.6,5.47,17.2
17.3,2.26,4.5,4.27,17.3
17.4,1.89,4.13,4.32,17.4
17.5,2.09,4.74,4.58,17.5
17.6,1.17,3.65,3.9,17.6
17.7,1.6,3.35,3.97,17.7
17.8,2.41,4.15,5.46,17.8
17.9,1.93,2.95,8.15,17.9
18.0,0.96,2.22,7.23,18.0
18.1,0.92,2.01,6.97,18.1
18.2,0.86,2.44,6.38,18.2
18.3,1.53,3.36,7.25,18.3
18.4,2.0,3.53,8.92,18.4
18.5,2.03,3.11,9.94,18.5
18.6,2.16,3.18,9.52,18.6
18.7,2.08,3.28,9.05,18.7
18.8,1.81,3.36,8.36,18.8
18.9,2.04,3.69,7.67,18.9
19.0,1.87,3.4,6.89,19.0
19.1,1.56,3.39,6.33,19.1
19.2,1.72,3.55,6.37,19.2
19.3,1.7,4.26,5.81,19.3
19.4,1.55,3.74,6.19,19.4
19.5,1.45,3.71,5.87,19.5
19.6,1.33,3.35,6.08,19.6
19.7,1.6,3.36,6.19,19.7
19.8,1.74,3.78,6.5,19.8
19.9,1.4,2.26,5.88,19.9
20.0,2.02,3.51,6.0,20.0
20.1,1.18,2.84,5.81,20.1
20.2,1.28,2.2,5.63,20.2
20.3,1.15,2.0,6.18,20.3
20.4,1.19,2.27,5.62,20.4
20.5,1.44,2.77,5.44,20.5
20.6,1.33,2.76,5.05,20.6
20.7,1.75,3.63,5.52,20.7
20.8,1.65,3.9,6.41,20.8
20.9,1.11,2.65,6.51,20.9
21.0,1.66,3.35,7.52,21.0
21.1,1.55,2.16,7.36,21.1
21.2,1.04,1.58,7.61,21.2
21.3,1.02,1.71,8.63,21.3
21.4,1.24,2.13,9.25,21.4
21.5,1.2,2.24,9.13,21.5
21.6,0.7,1.51,9.04,21.6
21.7,0.77,1.81,8.65,21.7
21.8,0.52,1.19,8.21,21.8
21.9,1.02,1.58,7.89,21.9
22.0,1.65,2.3,7.2,22.0
22.1,2.04,2.61,7.39,22.1
22.2,1.71,2.33,6.8,22.2
22.3,1.94,2.48,6.28,22.3
22.4,2.38,2.62,6.43,22.4
22.5,2.11,3.34,6.64,22.5
22.6,2.16,2.9,6.38,22.6
22.7,2.64,3.13,6.91,22.7
22.8,1.87,2.25,7.08,22.8
22.9,1.69,2.03,7.28,22.9
23.0,1.58,1.88,7.63,23.0
23.1,0.85,1.4,7.11,23.1
23.2,0.83,1.32,7.26,23.2
23.3,1.37,1.71,7.2,23.3
23.4,1.36,2.82,6.82,23.4
23.5,1.02,2.37,6.62,23.5
23.6,0.46,1.88,5.19,23.6
23.7,0.56,1.6,4.97,23.7
23.8,0.46,1.51,4.25,23.8
23.9,0.72,1.88,3.73,23.9
24.0,0.82,1.85,3.55,24.0
24.1,0.9,2.32,4.47,24.1
24.2,1.04,1.96,4.45,24.2
24.3,0.95,1.94,5.47,24.3
24.4,0.99,1.95,5.99,24.4
24.5,1.26,2.32,5.08,24.5
24.6,1.5,2.82,5.84,24.6
24.7,1.35,2.98,6.18,24.7
24.8,1.69,4.43,6.67,24.8
24.9,1.85,3.41,7.13,24.9
25.0,1.7,2.84,6.91,25.0
25.1,0.78,1.62,7.19,25.1
25.2,1.02,1.81,7.35,25.2
25.3,0.85,1.55,6.7,25.3
25.4,1.34,1.89,6.84,25.4
25.5,1.54,2.4,7.53,25.5
25.6,1.3,1.94,7.44,25.6
25.7,1.59,2.15,6.9,25.7
25.8,1.21,1.93,5.55,25.8
25.9,1.17,1.82,4.95,25.9
26.0,0.86,1.71,3.85,26.0
26.1,0.95,1.81,2.72,26.1
26.2,1.03,1.52,2.37,26.2
26.3,1.15,1.74,2.22,26.3
26.4,1.35,1.56,2.36,26.4
26.5,1.4,1.87,2.04,26.5
26.6,1.45,1.71,1.82,26.6
26.7,1.3,1.57,1.61,26.7
26.8,1.3,1.55,1.64,26.8
26.9,1.18,1.58,1.61,26.9
27.0,1.36,2.09,1.91,27.0
27.1,1.61,2.75,2.45,27.1
27.2,1.17,1.75,2.17,27.2
27.3,1.31,1.9,2.65,27.3
27.4,0.68,1.42,2.2,27.4
27.5,1.31,2.01,2.23,27.5
27.6,0.92,2.06,2.77,27.6
27.7,0.67,0.94,2.21,27.7
27.8,0.51,0.85,1.46,27.8
27.9,0.59,0.83,1.31,27.9
28.0,0.65,1.01,1.16,28.0
28.1,0.52,0.92,1.1,28.1
28.2,0.6,0.83,0.75,28.2
28.3,0.24,0.55,0.27,28.3
28.4,0.0,0.18,0.0,28.4
28.5,0.0,0.09,0.0,28.5
28.6,0.0,0.28,0.0,28.6
28.7,0.0,0.26,0.0,28.7
28.8,0.0,0.1,0.0,28.8
28.9,0.0,0.14,0.0,28.9
29.0,0.0,0.47,0.0,29.0
29.1,0.0,0.24,0.0,29.1
29.2,0.0,0.12,0.0,29.2
29.3,0.0,0.14,0.0,29.3
29.4,0.0,0.12,0.0,29.4
29.5,0.0,0.12,0.0,29.5
29.6,0.0,0.1,0.0,29.6
29.7,0.0,0.16,0.0,29.7
29.8,0.0,0.09,0.0,29.8
29.9,0.0,0.04,0.0,29.9
30.0,0.0,0.02,0.0,30.0
30.1,0.0,0.03,0.0,30.1
30.2,0.0,0.0,0.0,30.2
30.3,0.0,0.0,0.0,30.3
30.4,0.0,0.07,0.0,30.4
30.5,0.0,0.02,0.0,30.5
30.6,0.0,0.03,0.0,30.6
30.7,0.0,0.28,0.0,30.7
30.8,0.0,0.06,0.0,30.8
30.9,0.0,0.24,0.0,30.9
31.0,0.0,0.12,0.0,31.0
31.1,0.0,0.09,0.0,31.1
31.2,0.0,0.1,0.0,31.2
31.3,0.0,0.19,0.0,31.3
31.4,0.0,0.1,0.0,31.4
31.5,0.0,0.0,0.0,31.5
31.6,0.0,0.0,0.0,31.6
31.7,0.0,0.02,0.0,31.7
31.8,0.0,0.44,0.0,31.8
31.9,0.0,0.3,0.0,31.9
32.0,0.0,0.38,0.0,32.0
32.1,0.0,0.26,0.0,32.1
32.2,0.0,0.0,0.0,32.2
32.3,0.0,0.0,0.0,32.3
32.4,0.0,0.02,0.0,32.4
32.5,0.0,0.08,0.0,32.5
32.6,0.0,0.02,0.0,32.6
32.7,0.0,0.0,0.0,32.7
32.8,0.0,0.1,0.0,32.8
32.9,0.0,0.04,0.0,32.9
33.0,0.0,0.06,0.0,33.0
33.1,0.0,0.06,0.0,33.1
33.2,0.0,0.0,0.0,33.2
33.3,0.0,0.0,0.0,33.3
33.4,0.0,0.0,0.0,33.4
33.5,0.0,0.0,0.0,33.5
33.6,0.0,0.0,0.0,33.6
33.7,0.0,0.0,0.0,33.7
33.8,0.0,0.0,0.0,33.8
33.9,0.0,0.0,0.0,33.9
34.0,0.0,0.0,0.0,34.0
34.1,0.0,0.08,0.0,34.1
34.2,0.0,0.0,0.0,34.2
34.3,0.0,0.0,0.0,34.3
34.4,0.0,0.0,0.0,34.4
34.5,0.0,0.0,0.0,34.5
34.6,0.0,0.0,0.0,34.6
34.7,0.0,0.0,0.0,34.7
34.8,0.0,0.0,0.0,34.8
34.9,0.0,0.0,0.0,34.9
35.0,0.0,0.0,0.0,35.0
35.1,0.0,0.0,0.0,35.1
35.2,0.0,0.0,0.0,35.2
35.3,0.0,0.0,0.0,35.3
35.4,0.0,0.0,0.0,35.4
35.5,0.0,0.0,0.0,35.5
35.6,0.0,0.0,0.0,35.6
35.7,0.0,0.0,0.0,35.7
35.8,0.0,0.0,0.0,35.8
35.9,0.0,0.0,0.0,35.9
36.0,0.0,0.0,0.0,36.0
36.1,0.0,0.0,0.0,36.1
36.2,0.0,0.0,0.0,36.2
36.3,0.0,0.0,0.0,36.3
36.4,0.0,0.0,0.0,36.4
36.5,0.0,0.0,0.0,36.5
36.6,0.0,0.0,0.0,36.6
36.7,0.0,0.0,0.0,36.7
36.8,0.0,0.0,0.0,36.8
36.9,0.0,0.0,0.0,36.9
37.0,0.0,0.0,0.0,37.0
37.1,0.0,0.0,0.0,37.1
37.2,0.0,0.0,0.0,37.2
37.3,0.0,0.0,0.0,37.3
37.4,0.0,0.0,0.0,37.4
37.5,0.0,0.0,0.0,37.5
37.6,0.0,0.0,0.0,37.6
37.7,0.0,0.0,0.0,37.7
37.8,0.0,0.0,0.0,37.8
37.9,0.0,0.0,0.0,37.9
38.0,0.0,0.0,0.0,38.0
38.1,0.0,0.0,0.0,38.1
38.2,0.0,0.0,0.0,38.2
38.3,0.0,0.0,0.0,38.3
38.4,0.0,0.0,0.0,38.4
38.5,0.0,0.0,0.0,38.5
38.6,0.0,0.0,0.0,38.6
